produto,estado,semana,preco_modelo,preco_baseline,mae_modelo_estado,mae_baseline_estado
GLP,AC,2026-08-03/2026-08-09,126.1174017809376,126.0,1.385679147660552,1.2708333333333333
GLP,AC,2026-08-10/2026-08-16,126.2348035618752,126.0,1.385679147660552,1.2708333333333333
GLP,AC,2026-08-17/2026-08-23,126.29315188830353,126.0,1.385679147660552,1.2708333333333333
GLP,AC,2026-08-24/2026-08-30,126.35150021473186,126.0,1.385679147660552,1.2708333333333333
GLP,AL,2026-08-03/2026-08-09,105.03411260390709,105.0,0.8906544573971485,0.8333333333333334
GLP,AL,2026-08-10/2026-08-16,105.06822520781418,105.0,0.8906544573971485,0.8333333333333334
GLP,AL,2026-08-17/2026-08-23,105.10233781172127,105.0,0.8906544573971485,0.8333333333333334
GLP,AL,2026-08-24/2026-08-30,105.13645041562836,105.0,0.8906544573971485,0.8333333333333334
GLP,AM,2026-08-03/2026-08-09,126.06017210678857,126.0,0.4932187826058729,0.4166666666666667
GLP,AM,2026-08-10/2026-08-16,126.12034421357714,126.0,0.4932187826058729,0.4166666666666667
GLP,AM,2026-08-17/2026-08-23,126.18051632036571,126.0,0.4932187826058729,0.4166666666666667
GLP,AM,2026-08-24/2026-08-30,126.24068842715428,126.0,0.4932187826058729,0.4166666666666667
GLP,AP,2026-08-03/2026-08-09,126.05834832642833,126.0,1.9987489582265217,2.0
GLP,AP,2026-08-10/2026-08-16,126.11669665285666,126.0,1.9987489582265217,2.0
GLP,AP,2026-08-17/2026-08-23,126.17504497928499,126.0,1.9987489582265217,2.0
GLP,AP,2026-08-24/2026-08-30,126.23339330571332,126.0,1.9987489582265217,2.0
GLP,BA,2026-08-03/2026-08-09,115.02128682411274,115.0,1.396282613620658,1.3262499999999993
GLP,BA,2026-08-10/2026-08-16,115.04257364822547,115.0,1.396282613620658,1.3262499999999993
GLP,BA,2026-08-17/2026-08-23,115.05984213458775,115.0,1.396282613620658,1.3262499999999993
GLP,BA,2026-08-24/2026-08-30,115.07711062095004,115.0,1.396282613620658,1.3262499999999993
GLP,CE,2026-08-03/2026-08-09,120.019054235901,120.0,1.2522339817978505,1.2710416666666668
GLP,CE,2026-08-10/2026-08-16,120.03810847180199,120.0,1.2522339817978505,1.2710416666666668
GLP,CE,2026-08-17/2026-08-23,120.05716270770299,120.0,1.2522339817978505,1.2710416666666668
GLP,CE,2026-08-24/2026-08-30,120.07621694360398,120.0,1.2522339817978505,1.2710416666666668
GLP,DF,2026-08-03/2026-08-09,108.93292160752502,108.99,0.7797477375628287,0.7479166666666665
GLP,DF,2026-08-10/2026-08-16,108.88008407881209,108.99,0.7797477375628287,0.7479166666666665
GLP,DF,2026-08-17/2026-08-23,108.80489149768637,108.99,0.7797477375628287,0.7479166666666665
GLP,DF,2026-08-24/2026-08-30,108.72969891656065,108.99,0.7797477375628287,0.7479166666666665
GLP,ES,2026-08-03/2026-08-09,100.4032015698369,100.0,0.9903493096870722,0.8876041666666671
GLP,ES,2026-08-10/2026-08-16,100.71710119725003,100.0,0.9903493096870722,0.8876041666666671
GLP,ES,2026-08-17/2026-08-23,100.897459683952,100.0,0.9903493096870722,0.8876041666666671
GLP,ES,2026-08-24/2026-08-30,101.05659227998558,100.0,0.9903493096870722,0.8876041666666671
GLP,GO,2026-08-03/2026-08-09,115.02122858746085,115.0,1.5268902472387478,1.5625
GLP,GO,2026-08-10/2026-08-16,115.04245717492171,115.0,1.5268902472387478,1.5625
GLP,GO,2026-08-17/2026-08-23,115.06770410013301,115.0,1.5268902472387478,1.5625
GLP,GO,2026-08-24/2026-08-30,115.09295102534432,115.0,1.5268902472387478,1.5625
GLP,MA,2026-08-03/2026-08-09,129.82872769792078,129.99,0.8107182412783738,0.7495833333333346
GLP,MA,2026-08-10/2026-08-16,129.66745539584156,129.99,0.8107182412783738,0.7495833333333346
GLP,MA,2026-08-17/2026-08-23,129.50618309376233,129.99,0.8107182412783738,0.7495833333333346
GLP,MA,2026-08-24/2026-08-30,129.3355362874645,129.99,0.8107182412783738,0.7495833333333346
GLP,MG,2026-08-03/2026-08-09,109.96900310595164,110.0,0.8719333511075537,0.8531250000000007
GLP,MG,2026-08-10/2026-08-16,109.93800621190329,110.0,0.8719333511075537,0.8531250000000007
GLP,MG,2026-08-17/2026-08-23,109.90700931785493,110.0,0.8719333511075537,0.8531250000000007
GLP,MG,2026-08-24/2026-08-30,109.87601242380657,110.0,0.8719333511075537,0.8531250000000007
GLP,MS,2026-08-03/2026-08-09,118.96373827851086,119.0,1.7198916068954022,1.7914583333333336
GLP,MS,2026-08-10/2026-08-16,118.99088975884655,119.0,1.7198916068954022,1.7914583333333336
GLP,MS,2026-08-17/2026-08-23,118.95462803735741,119.0,1.7198916068954022,1.7914583333333336
GLP,MS,2026-08-24/2026-08-30,118.91836631586827,119.0,1.7198916068954022,1.7914583333333336
GLP,MT,2026-08-03/2026-08-09,129.82158994262048,130.0,1.2612018431066263,1.1872916666666669
GLP,MT,2026-08-10/2026-08-16,129.66031764054125,130.0,1.2612018431066263,1.1872916666666669
GLP,MT,2026-08-17/2026-08-23,129.49320409155763,130.0,1.2612018431066263,1.1872916666666669
GLP,MT,2026-08-24/2026-08-30,129.326090542574,130.0,1.2612018431066263,1.1872916666666669
